date,content_id,title,category,impressions,clicks,conversions,avg_dwell_sec,bounce_rate
2025-09-01,A101,10 Tips to Brew Coffee,Lifestyle,1598,208,32,34.0,0.53
2025-09-01,A102,Best Cameras 2025,Electronics,901,149,19,80.9,0.35
2025-09-01,A103,Healthy Breakfast Ideas,Lifestyle,1153,195,28,56.4,0.49
2025-09-01,A104,Travel Hacks Europe,Travel,886,173,15,82.2,0.27
2025-09-01,A105,Beginner’s Guide to Python,Education,1740,222,43,89.3,0.59
2025-09-02,A101,10 Tips to Brew Coffee,Lifestyle,1794,158,27,28.0,0.33
2025-09-02,A102,Best Cameras 2025,Electronics,1790,265,25,51.8,0.47
2025-09-02,A103,Healthy Breakfast Ideas,Lifestyle,1546,132,21,66.6,0.57
2025-09-02,A104,Travel Hacks Europe,Travel,445,97,7,86.5,0.41
2025-09-02,A105,Beginner’s Guide to Python,Education,447,94,14,39.3,0.55
2025-09-03,A101,10 Tips to Brew Coffee,Lifestyle,402,74,10,25.3,0.31
2025-09-03,A102,Best Cameras 2025,Electronics,914,73,6,52.2,0.57
2025-09-03,A103,Healthy Breakfast Ideas,Lifestyle,1025,194,18,89.1,0.52
2025-09-03,A104,Travel Hacks Europe,Travel,1971,400,34,70.6,0.41
2025-09-03,A105,Beginner’s Guide to Python,Education,1340,284,56,33.5,0.42
2025-09-04,A101,10 Tips to Brew Coffee,Lifestyle,551,115,15,66.1,0.45
2025-09-04,A102,Best Cameras 2025,Electronics,1468,222,31,72.5,0.49
2025-09-04,A103,Healthy Breakfast Ideas,Lifestyle,1999,218,18,80.4,0.56
2025-09-04,A104,Travel Hacks Europe,Travel,1913,373,57,85.8,0.49
2025-09-04,A105,Beginner’s Guide to Python,Education,765,96,8,29.5,0.36
2025-09-05,A101,10 Tips to Brew Coffee,Lifestyle,1449,279,19,38.3,0.52
2025-09-05,A102,Best Cameras 2025,Electronics,2196,272,20,52.5,0.52
2025-09-05,A103,Healthy Breakfast Ideas,Lifestyle,1561,336,49,43.3,0.42
2025-09-05,A104,Travel Hacks Europe,Travel,2087,218,26,33.5,0.35
2025-09-05,A105,Beginner’s Guide to Python,Education,1035,153,20,38.3,0.28
2025-09-06,A101,10 Tips to Brew Coffee,Lifestyle,420,49,5,30.0,0.52
2025-09-06,A102,Best Cameras 2025,Electronics,1888,180,15,81.9,0.49
2025-09-06,A103,Healthy Breakfast Ideas,Lifestyle,1607,235,31,30.2,0.38
2025-09-06,A104,Travel Hacks Europe,Travel,1164,172,31,77.8,0.28
2025-09-06,A105,Beginner’s Guide to Python,Education,520,62,11,44.7,0.36
2025-09-07,A101,10 Tips to Brew Coffee,Lifestyle,1020,90,6,63.6,0.33
2025-09-07,A102,Best Cameras 2025,Electronics,1676,209,15,75.2,0.53
2025-09-07,A103,Healthy Breakfast Ideas,Lifestyle,1698,280,28,52.0,0.48
2025-09-07,A104,Travel Hacks Europe,Travel,1395,207,25,36.3,0.26
2025-09-07,A105,Beginner’s Guide to Python,Education,485,63,6,89.4,0.41
2025-09-08,A101,10 Tips to Brew Coffee,Lifestyle,495,67,7,82.7,0.57
2025-09-08,A102,Best Cameras 2025,Electronics,811,103,14,32.9,0.44
2025-09-08,A103,Healthy Breakfast Ideas,Lifestyle,696,127,9,40.0,0.5
2025-09-08,A104,Travel Hacks Europe,Travel,1681,301,50,71.4,0.4
2025-09-08,A105,Beginner’s Guide to Python,Education,1511,284,44,40.8,0.32
2025-09-09,A101,10 Tips to Brew Coffee,Lifestyle,2103,222,18,41.2,0.57
2025-09-09,A102,Best Cameras 2025,Electronics,1470,135,11,66.9,0.53
2025-09-09,A103,Healthy Breakfast Ideas,Lifestyle,1842,349,59,39.0,0.37
2025-09-09,A104,Travel Hacks Europe,Travel,1714,277,43,60.9,0.36
2025-09-09,A105,Beginner’s Guide to Python,Education,780,93,18,72.4,0.48
2025-09-10,A101,10 Tips to Brew Coffee,Lifestyle,1736,307,47,31.7,0.26
2025-09-10,A102,Best Cameras 2025,Electronics,1771,357,31,80.9,0.27
2025-09-10,A103,Healthy Breakfast Ideas,Lifestyle,408,87,16,44.5,0.5
2025-09-10,A104,Travel Hacks Europe,Travel,2014,368,60,86.7,0.55
2025-09-10,A105,Beginner’s Guide to Python,Education,1965,260,35,44.7,0.54
2025-09-11,A101,10 Tips to Brew Coffee,Lifestyle,847,102,14,58.7,0.4
2025-09-11,A102,Best Cameras 2025,Electronics,723,116,17,85.0,0.25
2025-09-11,A103,Healthy Breakfast Ideas,Lifestyle,1921,242,19,39.9,0.3
2025-09-11,A104,Travel Hacks Europe,Travel,1188,144,13,40.6,0.55
2025-09-11,A105,Beginner’s Guide to Python,Education,2113,345,67,62.1,0.36
2025-09-12,A101,10 Tips to Brew Coffee,Lifestyle,516,82,15,73.8,0.29
2025-09-12,A102,Best Cameras 2025,Electronics,1470,285,46,51.9,0.32
2025-09-12,A103,Healthy Breakfast Ideas,Lifestyle,1251,118,19,72.1,0.27
2025-09-12,A104,Travel Hacks Europe,Travel,1056,137,24,73.6,0.38
2025-09-12,A105,Beginner’s Guide to Python,Education,681,97,14,85.3,0.26
2025-09-13,A101,10 Tips to Brew Coffee,Lifestyle,566,55,7,47.6,0.43
2025-09-13,A102,Best Cameras 2025,Electronics,602,79,12,54.4,0.58
2025-09-13,A103,Healthy Breakfast Ideas,Lifestyle,1050,99,8,88.7,0.43
2025-09-13,A104,Travel Hacks Europe,Travel,584,85,8,89.1,0.32
2025-09-13,A105,Beginner’s Guide to Python,Education,2004,405,75,69.1,0.41
2025-09-14,A101,10 Tips to Brew Coffee,Lifestyle,525,90,17,79.8,0.49
2025-09-14,A102,Best Cameras 2025,Electronics,437,78,9,56.2,0.3
2025-09-14,A103,Healthy Breakfast Ideas,Lifestyle,2158,351,63,63.4,0.52
2025-09-14,A104,Travel Hacks Europe,Travel,1778,364,37,44.3,0.29
2025-09-14,A105,Beginner’s Guide to Python,Education,989,98,17,76.4,0.48
2025-09-15,A101,10 Tips to Brew Coffee,Lifestyle,453,76,8,55.9,0.43
2025-09-15,A102,Best Cameras 2025,Electronics,1185,124,8,66.4,0.55
2025-09-15,A103,Healthy Breakfast Ideas,Lifestyle,1315,214,34,41.1,0.47
2025-09-15,A104,Travel Hacks Europe,Travel,1280,206,38,38.4,0.6
2025-09-15,A105,Beginner’s Guide to Python,Education,888,119,10,49.2,0.31
2025-09-16,A101,10 Tips to Brew Coffee,Lifestyle,2015,402,60,74.4,0.37
2025-09-16,A102,Best Cameras 2025,Electronics,2200,371,37,74.4,0.27
2025-09-16,A103,Healthy Breakfast Ideas,Lifestyle,602,66,6,50.3,0.29
2025-09-16,A104,Travel Hacks Europe,Travel,1191,118,23,47.6,0.31
2025-09-16,A105,Beginner’s Guide to Python,Education,555,93,9,65.9,0.57
2025-09-17,A101,10 Tips to Brew Coffee,Lifestyle,1484,256,29,54.4,0.46
2025-09-17,A102,Best Cameras 2025,Electronics,2021,207,21,86.6,0.29
2025-09-17,A103,Healthy Breakfast Ideas,Lifestyle,1546,289,24,87.2,0.46
2025-09-17,A104,Travel Hacks Europe,Travel,963,119,14,75.5,0.41
2025-09-17,A105,Beginner’s Guide to Python,Education,1293,272,27,67.9,0.29
2025-09-18,A101,10 Tips to Brew Coffee,Lifestyle,844,145,22,38.4,0.4
2025-09-18,A102,Best Cameras 2025,Electronics,1889,392,74,28.3,0.37
2025-09-18,A103,Healthy Breakfast Ideas,Lifestyle,1699,354,40,81.8,0.31
2025-09-18,A104,Travel Hacks Europe,Travel,1549,155,27,55.8,0.37
2025-09-18,A105,Beginner’s Guide to Python,Education,737,137,18,54.5,0.52
2025-09-19,A101,10 Tips to Brew Coffee,Lifestyle,1400,267,35,81.0,0.27
2025-09-19,A102,Best Cameras 2025,Electronics,1311,136,26,69.4,0.27
2025-09-19,A103,Healthy Breakfast Ideas,Lifestyle,1893,303,55,51.3,0.4
2025-09-19,A104,Travel Hacks Europe,Travel,1929,274,36,27.9,0.4
2025-09-19,A105,Beginner’s Guide to Python,Education,1181,110,18,49.3,0.43
2025-09-20,A101,10 Tips to Brew Coffee,Lifestyle,419,34,5,70.1,0.33
2025-09-20,A102,Best Cameras 2025,Electronics,1109,168,14,73.3,0.56
2025-09-20,A103,Healthy Breakfast Ideas,Lifestyle,1195,219,20,34.4,0.3
2025-09-20,A104,Travel Hacks Europe,Travel,682,94,12,37.8,0.48
2025-09-20,A105,Beginner’s Guide to Python,Education,2146,406,52,52.8,0.57
2025-09-21,A101,10 Tips to Brew Coffee,Lifestyle,1585,263,33,44.8,0.47
2025-09-21,A102,Best Cameras 2025,Electronics,1352,208,23,79.6,0.49
2025-09-21,A103,Healthy Breakfast Ideas,Lifestyle,705,100,9,70.9,0.54
2025-09-21,A104,Travel Hacks Europe,Travel,1705,226,32,72.9,0.49
2025-09-21,A105,Beginner’s Guide to Python,Education,1300,241,31,29.5,0.52
2025-09-22,A101,10 Tips to Brew Coffee,Lifestyle,899,125,18,70.5,0.4
2025-09-22,A102,Best Cameras 2025,Electronics,2067,249,47,33.9,0.4
2025-09-22,A103,Healthy Breakfast Ideas,Lifestyle,758,121,20,31.8,0.31
2025-09-22,A104,Travel Hacks Europe,Travel,998,140,22,64.8,0.38
2025-09-22,A105,Beginner’s Guide to Python,Education,1504,146,21,59.1,0.28
2025-09-23,A101,10 Tips to Brew Coffee,Lifestyle,1603,159,29,61.6,0.46
2025-09-23,A102,Best Cameras 2025,Electronics,2175,341,41,83.3,0.37
2025-09-23,A103,Healthy Breakfast Ideas,Lifestyle,1648,269,20,84.0,0.6
2025-09-23,A104,Travel Hacks Europe,Travel,1666,360,56,71.8,0.34
2025-09-23,A105,Beginner’s Guide to Python,Education,1702,370,62,32.4,0.25
2025-09-24,A101,10 Tips to Brew Coffee,Lifestyle,1803,337,23,67.4,0.29
2025-09-24,A102,Best Cameras 2025,Electronics,513,65,9,29.6,0.43
2025-09-24,A103,Healthy Breakfast Ideas,Lifestyle,2148,348,50,49.7,0.29
2025-09-24,A104,Travel Hacks Europe,Travel,531,99,17,69.1,0.25
2025-09-24,A105,Beginner’s Guide to Python,Education,735,139,22,32.3,0.3
2025-09-25,A101,10 Tips to Brew Coffee,Lifestyle,525,52,4,60.1,0.32
2025-09-25,A102,Best Cameras 2025,Electronics,444,61,7,42.5,0.34
2025-09-25,A103,Healthy Breakfast Ideas,Lifestyle,1758,267,20,61.7,0.33
2025-09-25,A104,Travel Hacks Europe,Travel,1248,251,24,81.7,0.29
2025-09-25,A105,Beginner’s Guide to Python,Education,1920,379,62,54.1,0.43
2025-09-26,A101,10 Tips to Brew Coffee,Lifestyle,946,105,14,52.9,0.52
2025-09-26,A102,Best Cameras 2025,Electronics,1261,127,21,75.7,0.43
2025-09-26,A103,Healthy Breakfast Ideas,Lifestyle,1283,188,35,65.6,0.4
2025-09-26,A104,Travel Hacks Europe,Travel,1536,123,11,69.4,0.28
2025-09-26,A105,Beginner’s Guide to Python,Education,1925,260,29,80.2,0.45
2025-09-27,A101,10 Tips to Brew Coffee,Lifestyle,1025,186,14,58.5,0.49
2025-09-27,A102,Best Cameras 2025,Electronics,1801,364,65,74.6,0.43
2025-09-27,A103,Healthy Breakfast Ideas,Lifestyle,569,112,10,70.0,0.29
2025-09-27,A104,Travel Hacks Europe,Travel,991,147,23,64.7,0.27
2025-09-27,A105,Beginner’s Guide to Python,Education,2053,278,38,79.1,0.55
2025-09-28,A101,10 Tips to Brew Coffee,Lifestyle,1254,271,42,65.8,0.58
2025-09-28,A102,Best Cameras 2025,Electronics,1136,231,45,86.3,0.4
2025-09-28,A103,Healthy Breakfast Ideas,Lifestyle,1878,281,38,48.4,0.48
2025-09-28,A104,Travel Hacks Europe,Travel,955,102,18,61.3,0.6
2025-09-28,A105,Beginner’s Guide to Python,Education,588,66,9,70.1,0.28
2025-09-29,A101,10 Tips to Brew Coffee,Lifestyle,461,79,6,87.1,0.33
2025-09-29,A102,Best Cameras 2025,Electronics,1833,303,52,60.3,0.49
2025-09-29,A103,Healthy Breakfast Ideas,Lifestyle,905,158,30,68.4,0.47
2025-09-29,A104,Travel Hacks Europe,Travel,513,97,8,82.0,0.37
2025-09-29,A105,Beginner’s Guide to Python,Education,614,103,14,75.0,0.45
2025-09-30,A101,10 Tips to Brew Coffee,Lifestyle,2124,378,41,84.7,0.6
2025-09-30,A102,Best Cameras 2025,Electronics,497,109,13,81.4,0.36
2025-09-30,A103,Healthy Breakfast Ideas,Lifestyle,621,66,5,68.0,0.41
2025-09-30,A104,Travel Hacks Europe,Travel,1982,289,28,54.1,0.38
2025-09-30,A105,Beginner’s Guide to Python,Education,982,144,16,83.1,0.36
